index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
799.0,7Networks_RH_SalVentAttn_Med_8,10.0,-34.0,43.0,752.0,17Networks_RH_SalVentAttnA_ParMed_3,SalVentAttnA,SalVentAttn,797,7Networks_RH_SalVentAttn_Med_8
800.0,7Networks_RH_SalVentAttn_Med_9,14.0,-24.0,39.0,753.0,17Networks_RH_SalVentAttnA_ParMed_4,SalVentAttnA,SalVentAttn,798,7Networks_RH_SalVentAttn_Med_9
801.0,7Networks_RH_SalVentAttn_Med_10,13.0,-39.0,45.0,754.0,17Networks_RH_SalVentAttnA_ParMed_5,SalVentAttnA,SalVentAttn,799,7Networks_RH_SalVentAttn_Med_10
802.0,7Networks_RH_SalVentAttn_Med_11,7.0,14.0,50.0,766.0,17Networks_RH_SalVentAttnA_FrMed_6,SalVentAttnA,SalVentAttn,800,7Networks_RH_SalVentAttn_Med_11
803.0,7Networks_RH_SalVentAttn_Med_12,15.0,-31.0,43.0,755.0,17Networks_RH_SalVentAttnA_ParMed_6,SalVentAttnA,SalVentAttn,801,7Networks_RH_SalVentAttn_Med_12
804.0,7Networks_RH_SalVentAttn_Med_13,9.0,-43.0,51.0,757.0,17Networks_RH_SalVentAttnA_ParMed_8,SalVentAttnA,SalVentAttn,802,7Networks_RH_SalVentAttn_Med_13
805.0,7Networks_RH_SalVentAttn_Med_14,14.0,-37.0,52.0,758.0,17Networks_RH_SalVentAttnA_ParMed_9,SalVentAttnA,SalVentAttn,803,7Networks_RH_SalVentAttn_Med_14
806.0,7Networks_RH_SalVentAttn_Med_15,5.0,11.0,59.0,796.0,17Networks_RH_SalVentAttnB_PFCmp_5,SalVentAttnB,SalVentAttn,804,7Networks_RH_SalVentAttn_Med_15
807.0,7Networks_RH_SalVentAttn_Med_16,6.0,-47.0,57.0,759.0,17Networks_RH_SalVentAttnA_ParMed_10,SalVentAttnA,SalVentAttn,805,7Networks_RH_SalVentAttn_Med_16
808.0,7Networks_RH_SalVentAttn_Med_17,7.0,0.0,66.0,768.0,17Networks_RH_SalVentAttnA_FrMed_8,SalVentAttnA,SalVentAttn,806,7Networks_RH_SalVentAttn_Med_17
809.0,7Networks_RH_SalVentAttn_Med_18,11.0,-46.0,64.0,709.0,17Networks_RH_DorsAttnB_PostC_16,DorsAttnB,SalVentAttn,807,7Networks_RH_SalVentAttn_Med_18
810.0,7Networks_RH_SalVentAttn_Med_19,16.0,6.0,69.0,769.0,17Networks_RH_SalVentAttnA_FrMed_9,SalVentAttnA,SalVentAttn,808,7Networks_RH_SalVentAttn_Med_19
811.0,7Networks_RH_SalVentAttn_Med_20,19.0,-5.0,69.0,601.0,17Networks_RH_SomMotA_33,SomMotA,SalVentAttn,809,7Networks_RH_SalVentAttn_Med_20
812.0,7Networks_RH_Limbic_OFC_1,21.0,14.0,-22.0,798.0,17Networks_RH_LimbicB_OFC_1,LimbicB,Limbic,810,7Networks_RH_Limbic_OFC_1
813.0,7Networks_RH_Limbic_OFC_2,14.0,16.0,-17.0,799.0,17Networks_RH_LimbicB_OFC_2,LimbicB,Limbic,811,7Networks_RH_Limbic_OFC_2
814.0,7Networks_RH_Limbic_OFC_3,15.0,27.0,-24.0,800.0,17Networks_RH_LimbicB_OFC_3,LimbicB,Limbic,812,7Networks_RH_Limbic_OFC_3
815.0,7Networks_RH_Limbic_OFC_4,10.0,28.0,-20.0,801.0,17Networks_RH_LimbicB_OFC_4,LimbicB,Limbic,813,7Networks_RH_Limbic_OFC_4
816.0,7Networks_RH_Limbic_OFC_5,10.0,41.0,-23.0,802.0,17Networks_RH_LimbicB_OFC_5,LimbicB,Limbic,814,7Networks_RH_Limbic_OFC_5
817.0,7Networks_RH_Limbic_OFC_6,23.0,28.0,-19.0,803.0,17Networks_RH_LimbicB_OFC_6,LimbicB,Limbic,815,7Networks_RH_Limbic_OFC_6
818.0,7Networks_RH_Limbic_OFC_7,16.0,48.0,-19.0,805.0,17Networks_RH_LimbicB_OFC_8,LimbicB,Limbic,816,7Networks_RH_Limbic_OFC_7
